path,status,notes
tests\Unit\Handyman\HandymanMatchingServiceTest.php,PENDING_REVIEW,queued for manual review
app\Services\Security\UserSessionService.php,PENDING_REVIEW,queued for manual review
app\Services\Security\TwoFactorService.php,PENDING_REVIEW,queued for manual review
tests\Unit\GeoZoneServiceTest.php,PENDING_REVIEW,queued for manual review
tests\Unit\ExampleTest.php,PENDING_REVIEW,queued for manual review
tests\Unit\ErrandPricingServiceTest.php,PENDING_REVIEW,queued for manual review
tests\Unit\EcoSuborderServiceTest.php,PENDING_REVIEW,queued for manual review
tests\Unit\EcoRecommendationEngineTest.php,PENDING_REVIEW,queued for manual review
tests\Unit\EcoDisposalDispatchServiceTest.php,PENDING_REVIEW,queued for manual review
app\Services\Scheduling\SlotService.php,PENDING_REVIEW,queued for manual review
app\Services\Scheduling\SlotReservationService.php,PENDING_REVIEW,queued for manual review
app\Services\Scheduling\SlotPlanner.php,PENDING_REVIEW,queued for manual review
tests\Unit\Delivery\DeliveryDomainTest.php,PENDING_REVIEW,queued for manual review
app\Services\Routing\RoutingService.php,PENDING_REVIEW,queued for manual review
app\Services\Routing\RouteResult.php,PENDING_REVIEW,queued for manual review
app\Services\Routing\Point.php,PENDING_REVIEW,queued for manual review
app\Services\Routing\MatrixResult.php,PENDING_REVIEW,queued for manual review
app\Services\RoadsideOrderService.php,PENDING_REVIEW,queued for manual review
app\Services\RoadsideAssignmentService.php,PENDING_REVIEW,queued for manual review
resources\views\pages\public\stores\show.blade.php,PENDING_REVIEW,queued for manual review
tests\TestCase.php,PENDING_REVIEW,queued for manual review
tests\Pest.php,PENDING_REVIEW,queued for manual review
resources\views\pages\public\products\show.blade.php,PENDING_REVIEW,queued for manual review
app\Services\Repair\RepairUpdateService.php,PENDING_REVIEW,queued for manual review
resources\views\pages\public\cart\optimize.blade.php,PENDING_REVIEW,queued for manual review
resources\views\pages\public\cart\index.blade.php,PENDING_REVIEW,queued for manual review
resources\views\lk\wallet.blade.php,PENDING_REVIEW,queued for manual review
resources\views\lk\support.blade.php,PENDING_REVIEW,queued for manual review
resources\views\lk\support-show.blade.php,PENDING_REVIEW,queued for manual review
tests\Feature\Webhooks\SignaturesTest.php,PENDING_REVIEW,queued for manual review
app\Services\Pricing\Support\PriceMath.php,PENDING_REVIEW,queued for manual review
app\Services\Pricing\PriceEstimateResult.php,PENDING_REVIEW,queued for manual review
app\Services\Pricing\PriceEngine.php,PENDING_REVIEW,queued for manual review
app\Services\Pricing\OrderContext.php,PENDING_REVIEW,queued for manual review
app\Services\Pricing\DemandService.php,PENDING_REVIEW,queued for manual review
app\Services\PerformanceService.php,PENDING_REVIEW,queued for manual review
app\Services\PaymentWebhookService.php,PENDING_REVIEW,queued for manual review
resources\views\lk\settings.blade.php,PENDING_REVIEW,queued for manual review
resources\views\lk\schedule.blade.php,PENDING_REVIEW,queued for manual review
app\Services\Partners\PartnerWebhookDispatcher.php,PENDING_REVIEW,queued for manual review
resources\views\lk\roadside\show.blade.php,PENDING_REVIEW,queued for manual review
resources\views\lk\roadside\index.blade.php,PENDING_REVIEW,queued for manual review
resources\views\lk\profile.blade.php,PENDING_REVIEW,queued for manual review
tests\Feature\Web\Executor\ExecutorDashboardTest.php,PENDING_REVIEW,queued for manual review
app\Services\Orders\RoadsideOrderFactory.php,PENDING_REVIEW,queued for manual review
app\Services\Orders\OrderLinkingService.php,PENDING_REVIEW,queued for manual review
app\Services\OrderPricingService.php,PENDING_REVIEW,queued for manual review
resources\views\lk\partials\assistant.blade.php,PENDING_REVIEW,queued for manual review
resources\views\lk\orders\show.blade.php,PENDING_REVIEW,queued for manual review
resources\views\lk\orders\index.blade.php,PENDING_REVIEW,queued for manual review
resources\views\lk\notifications.blade.php,PENDING_REVIEW,queued for manual review
resources\views\lk\layout.blade.php,PENDING_REVIEW,queued for manual review
app\Services\Operations\ServiceJobNormalizer.php,PENDING_REVIEW,queued for manual review
app\Services\Operations\OperationsSlaService.php,PENDING_REVIEW,queued for manual review
app\Services\Operations\LiveOpsStateService.php,PENDING_REVIEW,queued for manual review
app\Services\Operations\JobTimelineService.php,PENDING_REVIEW,queued for manual review
app\Services\Operations\DispatchScoringService.php,PENDING_REVIEW,queued for manual review
app\Services\Operations\DispatchEngineService.php,PENDING_REVIEW,queued for manual review
app\Services\NotificationService.php,PENDING_REVIEW,queued for manual review
resources\views\lk\executor\jobs.blade.php,PENDING_REVIEW,queued for manual review
resources\views\lk\executor\job-show.blade.php,PENDING_REVIEW,queued for manual review
resources\views\lk\debug.blade.php,PENDING_REVIEW,queued for manual review
resources\views\lk\dashboard.blade.php,PENDING_REVIEW,queued for manual review
app\Services\Notifications\NotificationFeedService.php,PENDING_REVIEW,queued for manual review
app\Services\N8nWebhookService.php,PENDING_REVIEW,queued for manual review
app\Services\Moving\MovingPriceCalculator.php,PENDING_REVIEW,queued for manual review
resources\views\livewire\virtual-office\office-canvas.blade.php,PENDING_REVIEW,queued for manual review
resources\views\livewire\user-loyalty-balance.blade.php,PENDING_REVIEW,queued for manual review
resources\views\livewire\support-ticket-chat.blade.php,PENDING_REVIEW,queued for manual review
resources\views\livewire\shop-profile.blade.php,PENDING_REVIEW,queued for manual review
resources\views\livewire\seller\manage-shops.blade.php,PENDING_REVIEW,queued for manual review
resources\views\livewire\my-messages.blade.php,PENDING_REVIEW,queued for manual review
resources\views\livewire\my-ads.blade.php,PENDING_REVIEW,queued for manual review
database\seeders\VirtualOfficeSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\VehicleInspectionPresetSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\SubscriptionSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\StoreCatalogSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\SocialCommunityPointsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\SocialCareTeamsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\SocialCareServiceTypesSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\SocialCarePlansNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\SocialCareOrdersNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\SocialCareHelpersNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\ServiceTypeSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\ServiceCategorySeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\ServiceCatalogSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\ScheduleSlotSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RoleSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RoadsideVehiclesNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RoadsideServiceTypesSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RoadsidePartnersNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RoadsideOrdersNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RoadsideJobTypesSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RoadsideInspectionPresetsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RoadsideHelpersNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RoadsideEmergencyPresetsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RoadsideDemoSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RetailStoresNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RetailStoreSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RetailStoreNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RestaurantsNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RestaurantSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RestaurantNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RestaurantColleSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RepairStageSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RepairProjectSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\RealWorldCatalogSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\ProductsNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\ProductionAdminBackfillSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\PricingRulesNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\PricingRuleSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\PartnerSettingsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\PartnerSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\OrganizationSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\OrderSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\OpsSmokeScenarioSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\OpsControlPlaneRoleAssignmentsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\OpsControlPlanePermissionsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\NotificationTemplateSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\NarvikWorkersSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\NarvikServiceTypesSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\NarvikServiceCategoriesSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\NarvikRegionSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\NarvikPricingSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\NarvikPartnersSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\NarvikGeoZonesMissingSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\MovingTeamsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\MovingOrdersSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\MovingOrderPhotosSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\MovingOrderItemsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\MovingItemsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\MainDirectionsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\HandymanTeamSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\HandymanMaterialsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\HandymanAssignmentsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\GeoZonesNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\GeoZoneSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\ErrandWorkersNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\ErrandTeamsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\ErrandTasksNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\ErrandPricingRulesSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\ErrandCategoriesNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\EmployeeSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\EcoVehiclesNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\EcoTeamsNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\EcoProvidersNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\EcoPricingRulesNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\EcoOrdersNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\DemoTrafficDataSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\DemoTasksSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\DemoScheduleSlotsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\DemoDeliveryOrdersSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\DeliveryOrdersNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\DeliveryOrderSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\DatabaseSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\data\service_catalogs.json,PENDING_REVIEW,queued for manual review
database\seeders\CouriersNarvikSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\CouponSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\CoreServicesSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\ClassifiedsSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\ClaimSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\BikubeDemoSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\BikubeDemoOrdersSeeder.php,PENDING_REVIEW,queued for manual review
database\seeders\AssistantConversationSeeder.php,PENDING_REVIEW,queued for manual review
app\Services\KassalSyncService.php,PENDING_REVIEW,queued for manual review
app\Services\Handyman\HandymanMatchingService.php,PENDING_REVIEW,queued for manual review
app\Services\Handyman\HandymanKpiService.php,PENDING_REVIEW,queued for manual review
app\Services\Handyman\HandymanAssignmentService.php,PENDING_REVIEW,queued for manual review
app\Services\GeoV3Service.php,PENDING_REVIEW,queued for manual review
app\Services\GeoService.php,PENDING_REVIEW,queued for manual review
tests\Feature\Tasks\ProofAndSlaGuardsTest.php,PENDING_REVIEW,queued for manual review
tests\Feature\SocialCare\SocialCareNotificationsTest.php,PENDING_REVIEW,queued for manual review
tests\Feature\SocialCare\SocialCareAnalyticsServiceTest.php,PENDING_REVIEW,queued for manual review
tests\Feature\SocialCare\OrderCareContextIntegrationTest.php,PENDING_REVIEW,queued for manual review
tests\Feature\Slots\RestrictionFromIncidentsTest.php,PENDING_REVIEW,queued for manual review
tests\Feature\PublicEcoDisposalFlowTest.php,PENDING_REVIEW,queued for manual review
app\Services\Geo\GeoZoneService.php,PENDING_REVIEW,queued for manual review
app\Services\GdprService.php,PENDING_REVIEW,queued for manual review
app\Services\FeatureFlags\FeatureFlagger.php,PENDING_REVIEW,queued for manual review
app\Services\FeatureFlags\Context.php,PENDING_REVIEW,queued for manual review
app\Services\Errand\ErrandTaskService.php,PENDING_REVIEW,queued for manual review
app\Services\Errand\ErrandPricingService.php,PENDING_REVIEW,queued for manual review
tests\Feature\Public\Repair\RepairIntakeTest.php,PENDING_REVIEW,queued for manual review
app\Services\EcoDisposal\EcoSuborderService.php,PENDING_REVIEW,queued for manual review
app\Services\EcoDisposal\EcoRecommendationLogger.php,PENDING_REVIEW,queued for manual review
app\Services\EcoDisposal\EcoRecommendationEngine.php,PENDING_REVIEW,queued for manual review
app\Services\EcoDisposal\EcoDisposalPricingService.php,PENDING_REVIEW,queued for manual review
app\Services\EcoDisposal\EcoDisposalOrderService.php,PENDING_REVIEW,queued for manual review
app\Services\EcoDisposal\EcoDisposalEstimateDto.php,PENDING_REVIEW,queued for manual review
app\Services\EcoDisposal\EcoDisposalDispatchService.php,PENDING_REVIEW,queued for manual review
app\Services\EcoDisposal\EcoDisposalAnalyticsService.php,PENDING_REVIEW,queued for manual review
app\Services\EcoDisposal\EcoCertificateService.php,PENDING_REVIEW,queued for manual review
app\Services\EcoDisposal\Contracts\EcoRecommendationEngineInterface.php,PENDING_REVIEW,queued for manual review
app\Services\DynamicPricingService.php,PENDING_REVIEW,queued for manual review
app\Services\Delivery\TariffCalculator.php,PENDING_REVIEW,queued for manual review
app\Services\Delivery\OrderFactory.php,PENDING_REVIEW,queued for manual review
app\Services\Delivery\GeofenceService.php,PENDING_REVIEW,queued for manual review
app\Services\Delivery\CourierSelectorService.php,PENDING_REVIEW,queued for manual review
app\Services\CorrelationService.php,PENDING_REVIEW,queued for manual review
app\Services\Claims\ClaimSlaService.php,PENDING_REVIEW,queued for manual review
app\Services\CartOptimizerService.php,PENDING_REVIEW,queued for manual review
tests\Feature\Public\Handyman\HandymanBookingTest.php,PENDING_REVIEW,queued for manual review
app\Services\Billing\PaymentLedgerService.php,PENDING_REVIEW,queued for manual review
app\Services\Bikube\AiAssistantService.php,PENDING_REVIEW,queued for manual review
app\Services\Auth\OidcProvider.php,PENDING_REVIEW,queued for manual review
app\Services\Auth\OidcClientFactory.php,PENDING_REVIEW,queued for manual review
app\Services\AuditLogger.php,PENDING_REVIEW,queued for manual review
app\Services\ApiKeyService.php,PENDING_REVIEW,queued for manual review
app\Services\Account\TimelineService.php,PENDING_REVIEW,queued for manual review
app\Services\Account\AccountReadService.php,PENDING_REVIEW,queued for manual review
app\Services\Account\AccountContextManager.php,PENDING_REVIEW,queued for manual review
tests\Feature\ProfileTest.php,PENDING_REVIEW,queued for manual review
tests\Feature\PriceEstimateApiTest.php,PENDING_REVIEW,queued for manual review
app\Rules\IpOrCidr.php,PENDING_REVIEW,queued for manual review
database\migrations\landlord\2025_12_14_123802_create_landlord_tenants_table.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_20_120100_create_replan_recommendations_table.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_20_120000_create_routing_eta_snapshots_table.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_18_000200_create_ops_saved_filters_table.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_18_000100_create_spatie_permission_pivots_and_backfill.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_14_110000_add_score_columns_to_assignments_table.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_14_100003_add_metadata_to_team_assignments_table.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_14_100002_add_required_team_size_to_service_jobs_table.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_14_100001_add_acceptance_deadline_to_assignments_table.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_13_130004_create_team_assignments_table.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_13_130003_create_dispatch_rule_sets_table.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_13_130002_create_executor_breaks_table.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_13_130001_create_executor_shifts_table.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_13_120000_create_workbench_idempotency_keys_table.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_12_170000_create_agent_workspace_event_tables.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_11_000002_create_agent_memories_table.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_11_000001_alter_agent_os_tables_for_continuous_loop.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_10_210000_create_agent_os_spec_lock_tables.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_05_100006_alter_operation_exceptions_and_job_timelines_phase1_alignment.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_05_100005_alter_sla_policies_and_timers_phase1_alignment.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_05_100004_alter_executor_locations_phase1_alignment.php,PENDING_REVIEW,queued for manual review
database\migrations\2026_04_05_100003_alter_assignments_phase1_alignment.php,PENDING_REVIEW,queued for manual review
